"UniProt_Accession"	"Symbol_synonym"	"Annotation_qualifier"	"Organism_taxon"	"panther_family"	"type"
"A7MCY6"	"ProSAPiP2"	"TANK-binding kinase 1-binding protein 1"	9606	"PTHR14432"	"protein"
"A7MCY6"	"TBKBP1"	"TANK-binding kinase 1-binding protein 1"	9606	"PTHR14432"	"protein"
"A7MCY6"	"SINTBAD"	"TANK-binding kinase 1-binding protein 1"	9606	"PTHR14432"	"protein"
"O95992"	"CH25H"	"Cholesterol 25-hydroxylase"	9606	"PTHR11863"	"protein"
"O95992"	"C25H"	"Cholesterol 25-hydroxylase"	9606	"PTHR11863"	"protein"
"P01562"	"IFNA-alpha"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01562"	"IFN"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01562"	"IFNA13"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01562"	"IFN-ALPHA"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01562"	"leIF-D"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01562"	"IFL"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01562"	"IFNA1"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01562"	"IFN-alphaD"	"Interferon alpha-1/13"	9606	"PTHR11691"	"protein"
"P01563"	"IFN-alpha-2"	"Interferon alpha-2"	9606	"PTHR11691"	"protein"
"P01563"	"IFNA"	"Interferon alpha-2"	9606	"PTHR11691"	"protein"
"P01563"	"IFNA2B"	"Interferon alpha-2"	9606	"PTHR11691"	"protein"
"P01563"	"leIF-A"	"Interferon alpha-2"	9606	"PTHR11691"	"protein"
"P01563"	"IFNA2"	"Interferon alpha-2"	9606	"PTHR11691"	"protein"
"P01563"	"IFN-alphaA"	"Interferon alpha-2"	9606	"PTHR11691"	"protein"
"P01566"	"IFNA10"	"Interferon alpha-10"	9606	"PTHR11691"	"protein"
"P01566"	"IFN-alphaC"	"Interferon alpha-10"	9606	"PTHR11691"	"protein"
"P01567"	"IFN-alphaJ"	"Interferon alpha-7"	9606	"PTHR11691"	"protein"
"P01567"	"IFNA7"	"Interferon alpha-7"	9606	"PTHR11691"	"protein"
"P01567"	"IFNA-J"	"Interferon alpha-7"	9606	"PTHR11691"	"protein"
"P01568"	"leIF-F"	"Interferon alpha-21"	9606	"PTHR11691"	"protein"
"P01568"	"IFNA21"	"Interferon alpha-21"	9606	"PTHR11691"	"protein"
"P01568"	"IFN-alphaI"	"Interferon alpha-21"	9606	"PTHR11691"	"protein"
"P01569"	"leIF-G"	"Interferon alpha-5"	9606	"PTHR11691"	"protein"
"P01569"	"IFN-alphaG"	"Interferon alpha-5"	9606	"PTHR11691"	"protein"
"P01569"	"IFN-alpha-5"	"Interferon alpha-5"	9606	"PTHR11691"	"protein"
"P01569"	"INA5"	"Interferon alpha-5"	9606	"PTHR11691"	"protein"
"P01569"	"INFA5"	"Interferon alpha-5"	9606	"PTHR11691"	"protein"
"P01569"	"IFNA5"	"Interferon alpha-5"	9606	"PTHR11691"	"protein"
"P01570"	"IFN-alphaH"	"Interferon alpha-14"	9606	"PTHR11691"	"protein"
"P01570"	"IFNA14"	"Interferon alpha-14"	9606	"PTHR11691"	"protein"
"P01570"	"LEIF2H"	"Interferon alpha-14"	9606	"PTHR11691"	"protein"
"P01571"	"IFN-alphaI"	"Interferon alpha-17"	9606	"PTHR11691"	"protein"
"P01571"	"INFA"	"Interferon alpha-17"	9606	"PTHR11691"	"protein"
"P01571"	"IFNA"	"Interferon alpha-17"	9606	"PTHR11691"	"protein"
"P01571"	"IFNA17"	"Interferon alpha-17"	9606	"PTHR11691"	"protein"
"P01571"	"LEIF2C1"	"Interferon alpha-17"	9606	"PTHR11691"	"protein"
"P01574"	"IFNB1"	"Interferon beta"	9606	"PTHR11691"	"protein"
"P01574"	"IFN-beta"	"Interferon beta"	9606	"PTHR11691"	"protein"
"P01574"	"IFNB"	"Interferon beta"	9606	"PTHR11691"	"protein"
"P01574"	"IFB"	"Interferon beta"	9606	"PTHR11691"	"protein"
"P01574"	"IFF"	"Interferon beta"	9606	"PTHR11691"	"protein"
"P05000"	"IFNW1"	"Interferon omega-1"	9606	"PTHR11691"	"protein"
"P05013"	"IFN-alphaK"	"Interferon alpha-6"	9606	"PTHR11691"	"protein"
"P05013"	"IFNA6"	"Interferon alpha-6"	9606	"PTHR11691"	"protein"
"P05014"	"IFN-alpha4a"	"Interferon alpha-4"	9606	"PTHR11691"	"protein"
"P05014"	"IFNA4"	"Interferon alpha-4"	9606	"PTHR11691"	"protein"
"P05014"	"INFA4"	"Interferon alpha-4"	9606	"PTHR11691"	"protein"
"P05015"	"IFNA16"	"Interferon alpha-16"	9606	"PTHR11691"	"protein"
"P05015"	"IFN-alpha-16"	"Interferon alpha-16"	9606	"PTHR11691"	"protein"
"P05015"	"IFN-alphaO"	"Interferon alpha-16"	9606	"PTHR11691"	"protein"
"P05161"	"UCRP"	"Ubiquitin-like protein ISG15"	9606	"PTHR10666"	"protein"
"P05161"	"ISG15"	"Ubiquitin-like protein ISG15"	9606	"PTHR10666"	"protein"
"P05161"	"G1P2"	"Ubiquitin-like protein ISG15"	9606	"PTHR10666"	"protein"
"P05161"	"IFI15"	"Ubiquitin-like protein ISG15"	9606	"PTHR10666"	"protein"
"P05161"	"IP17"	"Ubiquitin-like protein ISG15"	9606	"PTHR10666"	"protein"
"P05161"	"hUCRP"	"Ubiquitin-like protein ISG15"	9606	"PTHR10666"	"protein"
"P05161"	"IMD38"	"Ubiquitin-like protein ISG15"	9606	"PTHR10666"	"protein"
"P09914"	"IFI-56K"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"IFNAI1"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"C56"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"ISG56"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"P56"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"IFIT1"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"IFI-56"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"IFIT-1"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"IFI56"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"RNM561"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P09914"	"G10P1"	"Interferon-induced protein with tetratricopeptide repeats 1"	9606	"PTHR10271"	"protein"
"P13164"	"IFI17"	"Interferon-induced transmembrane protein 1"	9606	"PTHR13999"	"protein"
"P13164"	"DSPA2a"	"Interferon-induced transmembrane protein 1"	9606	"PTHR13999"	"protein"
"P13164"	"LEU13"	"Interferon-induced transmembrane protein 1"	9606	"PTHR13999"	"protein"
"P13164"	"IFITM1"	"Interferon-induced transmembrane protein 1"	9606	"PTHR13999"	"protein"
"P13164"	"CD225"	"Interferon-induced transmembrane protein 1"	9606	"PTHR13999"	"protein"
"P17181"	"IFRC"	"Interferon alpha/beta receptor 1"	9606	"PTHR20859"	"protein"
"P17181"	"IFN-alpha-REC"	"Interferon alpha/beta receptor 1"	9606	"PTHR20859"	"protein"
"P17181"	"IFNAR1"	"Interferon alpha/beta receptor 1"	9606	"PTHR20859"	"protein"
"P17181"	"AVP"	"Interferon alpha/beta receptor 1"	9606	"PTHR20859"	"protein"
"P17181"	"IMD106"	"Interferon alpha/beta receptor 1"	9606	"PTHR20859"	"protein"
"P17181"	"IFNBR"	"Interferon alpha/beta receptor 1"	9606	"PTHR20859"	"protein"
"P17181"	"IFNAR"	"Interferon alpha/beta receptor 1"	9606	"PTHR20859"	"protein"
"P17405"	"ASMASE"	"Sphingomyelin phosphodiesterase"	9606	"PTHR10340"	"protein"
"P17405"	"SMPD1"	"Sphingomyelin phosphodiesterase"	9606	"PTHR10340"	"protein"
"P17405"	"NPD"	"Sphingomyelin phosphodiesterase"	9606	"PTHR10340"	"protein"
"P17405"	"ASM"	"Sphingomyelin phosphodiesterase"	9606	"PTHR10340"	"protein"
"P20591"	"MX1"	"Interferon-induced GTP-binding protein Mx1"	9606	"PTHR11566"	"protein"
